cars,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
https://bikroy.com/en/ad/toyota-axio-ex-4-point-110-k-2020-for-sale-dhaka,"Tk 2,400,000",Toyota,Axio,2020,Reconditioned,Automatic,Hybrid,"110,000 km"
https://bikroy.com/en/ad/toyota-sienta-g-7-seat-power-door-2013-for-sale-dhaka,"Tk 1,590,000",Toyota,Sienta,2013,Used,Automatic,Octane,"68,114 km"
https://bikroy.com/en/ad/toyota-allion-a-15-g-package-2006-for-sale-dhaka-8,"Tk 1,580,000",Toyota,Allion,2006,Used,Automatic,"CNG, Octane","78,114 km"
https://bikroy.com/en/ad/toyota-axio-fielder-x-limited-2011-for-sale-dhaka,"Tk 1,565,000",Toyota,Axio,2011,Used,Automatic,"CNG, Octane","69,114 km"
https://bikroy.com/en/ad/toyota-axio-hybride-2018-for-sale-dhaka,"Tk 2,050,000",Toyota,Axio,2018,Used,Automatic,Hybrid,"72,500 km"
https://bikroy.com/en/ad/toyota-allion-a15-2002-for-sale-dhaka-850,"Tk 1,145,000",Toyota,Allion,2002,Used,Automatic,"CNG, Octane","92,356 km"
https://bikroy.com/en/ad/range-rover-evoque-2021-for-sale-dhaka,"Tk 11,600,000",Range Rover,Evoque,2021,Used,Automatic,Octane,"22,000 km"
https://bikroy.com/en/ad/toyota-allion-47-3284-2017-for-sale-dhaka-1,"Tk 2,700,000",Toyota,Allion,2017,Used,Automatic,LPG,"111,000 km"
https://bikroy.com/en/ad/toyota-corolla-cross-panoramic-moonroof-2024-for-sale-dhaka,"Tk 5,500,000",Toyota,Corolla Cross,2024,Reconditioned,Automatic,"Hybrid, Octane",5 km
https://bikroy.com/en/ad/toyota-axio-ex-2020-non-hybrid-for-sale-dhaka-2,"Tk 2,599,000",Toyota,Axio,2020,Reconditioned,Automatic,Octane,"48,000 km"
https://bikroy.com/en/ad/honda-vezel-play-moonroof-4grd-2021-for-sale-dhaka-5,"Tk 4,720,000",Honda,Vezel,2021,Reconditioned,Automatic,"Hybrid, Octane","33,071 km"
https://bikroy.com/en/ad/honda-vezel-z-4grd-pearl-2021-for-sale-dhaka,"Tk 4,370,000",Honda,Vezel,2021,Reconditioned,Automatic,"Hybrid, Octane","42,117 km"
https://bikroy.com/en/ad/toyota-voxy-v2dp-brown-35grd-2020-for-sale-dhaka-6,"Tk 3,270,000",Toyota,Voxy,2020,Reconditioned,Automatic,"Hybrid, Octane","67,110 km"
https://bikroy.com/en/ad/toyota-axio-excellent-hybrid-2014-for-sale-dhaka,"Tk 1,380,000",Toyota,Axio,2014,Used,Automatic,"Hybrid, Octane","150,000 km"
https://bikroy.com/en/ad/honda-cr-v-ex-masterpiece-2019-for-sale-dhaka-315,"Tk 6,100,000",Honda,CR-V,2019,Reconditioned,Automatic,Octane,"398,814 km"
https://bikroy.com/en/ad/mitsubishi-outlandar-all-pawer-2004-for-sale-dhaka-9,"Tk 1,170,000",Mitsubishi,Outlandar,2004,Used,Automatic,Octane,"76,352 km"
