index,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
37,2599000,toyota,axio,2020,reconditioned,automatic,octane,48000
38,4720000,honda,vezel,2021,reconditioned,automatic,"hybrid, octane",33071
39,4370000,honda,vezel,2021,reconditioned,automatic,"hybrid, octane",42117
40,3270000,toyota,voxy,2020,reconditioned,automatic,"hybrid, octane",67110
41,1380000,toyota,axio,2014,used,automatic,"hybrid, octane",150000
42,6100000,honda,cr-v,2019,reconditioned,automatic,octane,398814
43,1170000,mitsubishi,outlandar,2004,used,automatic,octane,76352
44,2550000,honda,grace,2020,reconditioned,automatic,"hybrid, octane",73479
45,1535000,toyota,fielder,2010,used,automatic,octane,76352
46,1850000,toyota,aqua,2019,reconditioned,automatic,hybrid,63000
47,4030000,honda,civic,2020,reconditioned,automatic,petrol,40000
48,2020000,toyota,noah,2012,used,automatic,"petrol, cng, octane",230000
49,5650000,honda,cr-v,2021,used,automatic,octane,23159
50,3200000,honda,accord,2017,used,automatic,octane,34500
51,27500000,mercedes-benz,gls-class,2022,used,automatic,octane,9500
52,7100000,toyota,camry,2021,used,automatic,"hybrid, octane",40000
53,1225000,toyota,corolla,2004,used,automatic,"octane, lpg",91000
54,1280000,nissan,bluebird,2008,used,automatic,octane,72451
55,1450000,toyota,axio,2010,used,automatic,"cng, octane",90000
56,3490000,toyota,c-hr,2020,reconditioned,automatic,"hybrid, octane",73000
57,1650000,toyota,auris,2012,used,automatic,petrol,50000
58,3390000,toyota,premio,2017,used,automatic,"hybrid, octane",50040
59,2360000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid",79000
60,7300000,toyota,prado,2012,used,automatic,octane,43300
61,1050000,nissan,bluebird,2008,used,automatic,"petrol, cng",291856
62,4390000,toyota,corolla,2022,used,automatic,octane,49000
63,550000,nissan,350z z33,2006,used,manual,diesel,215000
64,1410000,toyota,avanza,2011,used,automatic,"petrol, lpg",134250
65,280000,toyota,carina,1989,used,automatic,"cng, octane",150000
66,1395000,toyota,corolla,2006,used,automatic,"octane, lpg",93000
67,1875000,toyota,allion,2009,used,automatic,"cng, octane",91000
68,2080000,toyota,noah,2011,used,automatic,"cng, octane",98156
69,1485000,toyota,allion,2005,used,automatic,"cng, octane",90000
70,1390000,toyota,allion,2004,used,automatic,"cng, octane",45000
71,2520000,honda,city,2021,used,automatic,"hybrid, octane",5730
72,2200000,toyota,fielder,2014,used,automatic,octane,72000
73,1550000,honda,grace,2015,used,automatic,hybrid,72294
74,880000,toyota,corolla,2000,used,automatic,"cng, octane",60000
75,1820000,honda,grace,2015,used,automatic,"hybrid, octane",82000
76,2350000,toyota,axio,2020,reconditioned,automatic,hybrid,137000
77,2200000,toyota,esquire,2015,used,automatic,"hybrid, octane",68067
78,3500000,mg,hs,2021,used,automatic,petrol,16000
79,2370000,nissan,x-trail,2017,used,automatic,octane,67500
80,1550000,toyota,axio,2015,used,automatic,octane,160000
81,2500000,toyota,allion,2014,used,automatic,"petrol, octane, lpg",43000
82,1600000,toyota,axio,2012,used,automatic,"cng, octane",60000
83,820000,toyota,ist,2003,used,automatic,octane,85000
84,1380000,toyota,ist,2010,used,automatic,octane,86000
